,Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
162,62,VAFB,SAOCOM 1A,"3,000 kg",SSO,CONAE,Success,"['F9 B5', 'B1048.2']",Success,8 October 2018,02:22
163,63,KSC,Es'hail 2,"5,300 kg",GTO,Es'hailSat,Success,"['F9 B5', 'B1047.2']",Success,15 November 2018,20:46
164,64,VAFB,SSO-A,"~4,000 kg",SSO,Spaceflight Industries,Success,"['F9 B5', 'B1046.3']",Success,3 December 2018,18:34:05
165,65,CCAFS,SpaceX CRS-16,"2,500 kg",LEO,NASA,"Success
",['F9 B5'],Failure,5 December 2018,18:16
166,66,CCAFS,GPS III,"4,400 kg",MEO,USAF,Success,['F9 B5'],No attempt,23 December 2018,13:51
167,67,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
","['F9 B5', 'B1049.2']",Success,11 January 2019,15:31
168,68,CCAFS,Nusantara Satu,"4,850 kg",GTO,PSN,"Success
","['F9 B5', 'B1048.3']",Success,22 February 2019,01:45
169,69,KSC,Crew Dragon Demo-1,"12,055 kg",LEO,NASA,"Success
","['F9 B5', '[268]']",Success,2 March 2019,07:49
170,70,CCAFS,SpaceX CRS-17,"2,495 kg",LEO,NASA,"Success
",['F9 B5'],Success,4 May 2019,06:48
171,71,CCAFS,Starlink,"13,620 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1049.3']",Success,24 May 2019,02:30
172,72,VAFB,RADARSAT Constellation,"4,200 kg",SSO,Canadian Space Agency,"Success
","['F9 B5', 'B1051.2']",Success,12 June 2019,14:17
173,73,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,NASA,"Success
","['F9 B5', 'B1056.2']",Success,25 July 2019,22:01
174,74,CCAFS,AMOS-17,"6,500 kg",GTO,Spacecom,"Success
","['F9 B5', 'B1047.3']",No attempt,6 August 2019,23:23
175,75,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5'],Success,11 November 2019,14:56
176,76,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,NASA,"Success
",['F9 B5'],Success,5 December 2019,17:29
177,77,CCAFS,JCSat-18,"6,956 kg",GTO,Sky Perfect JSAT,"Success
","['F9 B5', 'B1056.3']",Success,17 December 2019,00:10
178,78,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5'],Success,7 January 2020,02:19:21
179,79,KSC,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,NASA,"Success
",['F9 B5'],"No attempt
",19 January 2020,15:30
180,80,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5'],Success,29 January 2020,14:07
181,81,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5'],Failure,17 February 2020,15:05
182,82,CCAFS,SpaceX CRS-20,"1,977 kg",LEO,NASA,"Success
",['F9 B5'],Success,7 March 2020,04:50
183,83,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5'],Failure,18 March 2020,12:16
184,84,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5'],Success,22 April 2020,19:30
185,85,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,NASA,"Success
",['F9 B5'],Success,30 May 2020,19:22
186,86,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5'],Success,4 June 2020,01:25
187,87,CCAFS,Starlink,"15,410 kg",LEO,SpaceX,"Success
",['F9 B5'],Success,13 June 2020,09:21
188,88,CCAFS,GPS III,"4,311 kg",MEO,U.S. Space Force,"Success
",['F9 B5'],Success,30 June 2020,20:10:46
189,89,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,Republic of Korea Army,"Success
","['F9 B5', 'B1058.2']",Success,20 July 2020,21:30
190,90,KSC,Starlink,"14,932 kg",LEO,SpaceX,"Success
",['F9 B5'],Success,7 August 2020,05:12
191,91,CCAFS,Starlink,"~15,440 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1049.6']",Success,18 August 2020,14:31
192,92,CCAFS,SAOCOM 1B,"3,130 kg",SSO,CONAE,"Success
",['F9 B5'],Success,30 August 2020,23:18
193,93,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1060.2']",Success,3 September 2020,12:46:14
194,94,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1058.3']",Success,6 October 2020,11:29:34
195,95,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1051.6']",Success,18 October 2020,12:25:57
196,96,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5'],Success,24 October 2020,15:31:34
197,97,CCAFS,GPS III,"4,311 kg",MEO,USSF,"Success
",['F9 B5'],Success,5 November 2020,23:24:23
198,98,KSC,Crew-1,"~12,500 kg",LEO,NASA,"Success
",['F9 B5'],Success,16 November 2020,00:27
199,99,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,NASA,"Success
",['F9 B5'],Success,21 November 2020,17:17:08
200,100,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5 ♺'],Success,25 November 2020,02:13
201,101,KSC,SpaceX CRS-21,"2,972 kg",LEO,NASA,"Success
",['F9 B5 ♺'],Success,6 December 2020,16:17:08
202,102,CCSFS,SXM-7,"7,000 kg",GTO,Sirius XM,"Success
",['F9 B5 ♺'],Success,13 December 2020,17:30:00
203,103,KSC,NROL-108,C,LEO,NRO,"Success
",['F9 B5 ♺'],Success,19 December 2020,14:00:00
204,104,CCSFS,Türksat 5A,"3,500 kg",GTO,Türksat,"Success
",['F9 B5'],Success,8 January 2021,02:15
205,105,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1051.8']",Success,20 January 2021,13:02
206,106,CCSFS,Transporter-1,"~5,000 kg",SSO,,"Success
","['F9 B5', 'B1058.5']",Success,24 January 2021,15:00
207,107,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5 ♺'],Success,4 February 2021,06:19
208,108,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5 ♺'],Failure,16 February 2021,03:59:37
209,109,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5 ♺'],Success,4 March 2021,08:24
210,110,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5 ♺'],Success,11 March 2021,08:13:29
211,111,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5 ♺'],Success,14 March 2021,10:01
212,112,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1060.6']",Success,24 March 2021,08:28
213,113,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5 ♺'],Success,7 April 2021,16:34
214,114,KSC,Crew-2,"~13,000 kg",LEO,NASA,"Success
","['F9 B5', 'B1061.2']",Success,23 April 2021,9:49
215,115,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1060.7']",Success,29 April 2021,03:44
216,116,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1049.9']",Success,4 May 2021,19:01
217,117,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1051.10']",Success,9 May 2021,06:42
218,118,KSC,Starlink,"~14,000 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1058.8']",Success,15 May 2021,22:56
219,119,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1063.2']",Success,26 May 2021,18:59
220,120,KSC,SpaceX CRS-22,"3,328 kg",LEO,NASA,"Success
","['F9 B5', 'B1067.1']",Success,3 June 2021,17:29
221,121,CCSFS,SXM-8,"7,000 kg",GTO,Sirius XM,"Success
",['F9 B5'],Success,6 June 2021,04:26
222,29,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",['F9 FT'],Success,14 January 2017,17:54
223,30,KSC,SpaceX CRS-10,"2,490 kg",LEO,NASA,"Success
",['F9 FT'],Success,19 February 2017,14:39
224,31,KSC,EchoStar 23,"5,600 kg",GTO,EchoStar,"Success
",['F9 FT'],No attempt,16 March 2017,06:00
225,32,KSC,SES-10,"5,300 kg",GTO,SES,Success,"['F9 FT', '♺']",Success,30 March 2017,22:27
226,33,KSC,NROL-76,C,LEO,NRO,"Success
",['F9 FT'],Success,1 May 2017,11:15
227,34,KSC,Inmarsat-5 F4,"6,070 kg",GTO,Inmarsat,"Success
",['F9 FT'],No attempt,15 May 2017,23:21
228,35,KSC,SpaceX CRS-11,"2,708 kg",LEO,NASA,"Success
",['F9 FT'],Success,3 June 2017,21:07
229,36,KSC,BulgariaSat-1,"3,669 kg",GTO,Bulsatcom,"Success
","['F9 FT', 'B1029.2']",Success,23 June 2017,19:10
230,37,VAFB,Iridium NEXT,"9,600 kg",LEO,Iridium Communications,"Success
",['F9 FT'],Success,25 June 2017,20:25
231,38,KSC,Intelsat 35e,"6,761 kg",GTO,Intelsat,"Success
",['F9 FT'],No attempt,5 July 2017,23:38
232,39,KSC,SpaceX CRS-12,"3,310 kg",LEO,NASA,"Success
",['F9 B4'],Success,14 August 2017,16:31
233,40,VAFB,Formosat-5,475 kg,SSO,NSPO,"Success
",['F9 FT'],Success,24 August 2017,18:51
234,41,KSC,Boeing X-37B,"4,990 kg",LEO,USAF,"Success
",['F9 B4'],Success,7 September 2017,14:00
235,42,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",['F9 B4'],Success,9 October 2017,12:37
236,43,KSC,SES-11,"5,200 kg",GTO,SES S.A.,"Success
","['F9 FT', 'B1031.2']",Success,11 October 2017,22:53:00
237,44,KSC,Koreasat 5A,"3,500 kg",GTO,KT Corporation,"Success
",['F9 B4'],Success,30 October 2017,19:34
238,45,Cape Canaveral,SpaceX CRS-13,"2,205 kg",LEO,NASA,"Success
","['F9 FT', 'B1035.2']",Success,15 December 2017,15:36
239,46,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,"['F9 FT', 'B1036.2']",Controlled,23 December 2017,01:27
240,47,CCAFS,Zuma,C,LEO,Northrop Grumman,Success,['F9 B4'],Success,8 January 2018,01:00
241,48,CCAFS,GovSat-1,"4,230 kg",GTO,SES,Success,"['F9 FT', 'B1032.2']",Controlled,31 January 2018,21:25
242,49,VAFB,Paz,"2,150 kg",SSO,Hisdesat,Success,"['F9 FT', 'B1038.2']",No attempt,22 February 2018,14:17
243,50,CCAFS,Hispasat 30W-6,"6,092 kg",GTO,Hispasat,Success,['F9 B4'],No attempt,6 March 2018,05:33
244,51,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,"['F9 B4', 'B1041.2']",No attempt,30 March 2018,14:14
245,52,CCAFS,SpaceX CRS-14,"2,647 kg",LEO,NASA,Success,"['F9 B4', 'B1039.2']",No attempt,2 April 2018,20:30
246,53,CCAFS,Transiting Exoplanet Survey Satellite,362 kg,HEO,NASA,Success,['F9 B4'],Success,18 April 2018,22:51
247,54,KSC,Bangabandhu-1,"3,600 kg",GTO,Thales-Alenia,Success,"['F9 B5', 'B1046.1']",Success,11 May 2018,20:14
248,55,VAFB,Iridium NEXT,"6,460 kg",Polar,Iridium Communications,Success,"['F9 B4', 'B1043.2']",No attempt,22 May 2018,19:47
249,56,CCAFS,SES-12,"5,384 kg",GTO,SES,Success,"['F9 B4', 'B1040.2']",No attempt,4 June 2018,04:45
250,57,CCAFS,SpaceX CRS-15,"2,697 kg",LEO,NASA,Success,"['F9 B4', 'B1045.2']",No attempt,29 June 2018,09:42
251,58,CCAFS,Telstar 19V,"7,075 kg",GTO,Telesat,Success,['F9 B5'],Success,22 July 2018,05:50
252,59,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,"['F9 B5', 'B1048']",Success,25 July 2018,11:39
253,60,CCAFS,Merah Putih,"5,800 kg",GTO,Telkom Indonesia,Success,"['F9 B5', 'B1046.2']",Success,7 August 2018,05:18
254,61,CCAFS,Telstar 18V,"7,060 kg",GTO,Telesat,Success,['F9 B5'],Success,10 September 2018,04:45
255,62,VAFB,SAOCOM 1A,"3,000 kg",SSO,CONAE,Success,"['F9 B5', 'B1048.2']",Success,8 October 2018,02:22
256,63,KSC,Es'hail 2,"5,300 kg",GTO,Es'hailSat,Success,"['F9 B5', 'B1047.2']",Success,15 November 2018,20:46
257,64,VAFB,SSO-A,"~4,000 kg",SSO,Spaceflight Industries,Success,"['F9 B5', 'B1046.3']",Success,3 December 2018,18:34:05
258,65,CCAFS,SpaceX CRS-16,"2,500 kg",LEO,NASA,"Success
",['F9 B5'],Failure,5 December 2018,18:16
259,66,CCAFS,GPS III,"4,400 kg",MEO,USAF,Success,['F9 B5'],No attempt,23 December 2018,13:51
260,67,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
","['F9 B5', 'B1049.2']",Success,11 January 2019,15:31
261,68,CCAFS,Nusantara Satu,"4,850 kg",GTO,PSN,"Success
","['F9 B5', 'B1048.3']",Success,22 February 2019,01:45
262,69,KSC,Crew Dragon Demo-1,"12,055 kg",LEO,NASA,"Success
","['F9 B5', '[268]']",Success,2 March 2019,07:49
263,70,CCAFS,SpaceX CRS-17,"2,495 kg",LEO,NASA,"Success
",['F9 B5'],Success,4 May 2019,06:48
264,71,CCAFS,Starlink,"13,620 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1049.3']",Success,24 May 2019,02:30
265,72,VAFB,RADARSAT Constellation,"4,200 kg",SSO,Canadian Space Agency,"Success
","['F9 B5', 'B1051.2']",Success,12 June 2019,14:17
266,73,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,NASA,"Success
","['F9 B5', 'B1056.2']",Success,25 July 2019,22:01
267,74,CCAFS,AMOS-17,"6,500 kg",GTO,Spacecom,"Success
","['F9 B5', 'B1047.3']",No attempt,6 August 2019,23:23
268,75,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5'],Success,11 November 2019,14:56
269,76,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,NASA,"Success
",['F9 B5'],Success,5 December 2019,17:29
270,77,CCAFS,JCSat-18,"6,956 kg",GTO,Sky Perfect JSAT,"Success
","['F9 B5', 'B1056.3']",Success,17 December 2019,00:10
271,78,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5'],Success,7 January 2020,02:19:21
272,79,KSC,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,NASA,"Success
",['F9 B5'],"No attempt
",19 January 2020,15:30
273,80,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5'],Success,29 January 2020,14:07
274,81,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5'],Failure,17 February 2020,15:05
275,82,CCAFS,SpaceX CRS-20,"1,977 kg",LEO,NASA,"Success
",['F9 B5'],Success,7 March 2020,04:50
276,83,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5'],Failure,18 March 2020,12:16
277,84,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5'],Success,22 April 2020,19:30
278,85,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,NASA,"Success
",['F9 B5'],Success,30 May 2020,19:22
279,86,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5'],Success,4 June 2020,01:25
280,87,CCAFS,Starlink,"15,410 kg",LEO,SpaceX,"Success
",['F9 B5'],Success,13 June 2020,09:21
281,88,CCAFS,GPS III,"4,311 kg",MEO,U.S. Space Force,"Success
",['F9 B5'],Success,30 June 2020,20:10:46
282,89,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,Republic of Korea Army,"Success
","['F9 B5', 'B1058.2']",Success,20 July 2020,21:30
283,90,KSC,Starlink,"14,932 kg",LEO,SpaceX,"Success
",['F9 B5'],Success,7 August 2020,05:12
284,91,CCAFS,Starlink,"~15,440 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1049.6']",Success,18 August 2020,14:31
285,92,CCAFS,SAOCOM 1B,"3,130 kg",SSO,CONAE,"Success
",['F9 B5'],Success,30 August 2020,23:18
286,93,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1060.2']",Success,3 September 2020,12:46:14
287,94,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1058.3']",Success,6 October 2020,11:29:34
288,95,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1051.6']",Success,18 October 2020,12:25:57
289,96,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5'],Success,24 October 2020,15:31:34
290,97,CCAFS,GPS III,"4,311 kg",MEO,USSF,"Success
",['F9 B5'],Success,5 November 2020,23:24:23
291,98,KSC,Crew-1,"~12,500 kg",LEO,NASA,"Success
",['F9 B5'],Success,16 November 2020,00:27
292,99,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,NASA,"Success
",['F9 B5'],Success,21 November 2020,17:17:08
293,100,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5 ♺'],Success,25 November 2020,02:13
294,101,KSC,SpaceX CRS-21,"2,972 kg",LEO,NASA,"Success
",['F9 B5 ♺'],Success,6 December 2020,16:17:08
295,102,CCSFS,SXM-7,"7,000 kg",GTO,Sirius XM,"Success
",['F9 B5 ♺'],Success,13 December 2020,17:30:00
296,103,KSC,NROL-108,C,LEO,NRO,"Success
",['F9 B5 ♺'],Success,19 December 2020,14:00:00
297,104,CCSFS,Türksat 5A,"3,500 kg",GTO,Türksat,"Success
",['F9 B5'],Success,8 January 2021,02:15
298,105,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1051.8']",Success,20 January 2021,13:02
299,106,CCSFS,Transporter-1,"~5,000 kg",SSO,,"Success
","['F9 B5', 'B1058.5']",Success,24 January 2021,15:00
300,107,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5 ♺'],Success,4 February 2021,06:19
301,108,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5 ♺'],Failure,16 February 2021,03:59:37
302,109,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5 ♺'],Success,4 March 2021,08:24
303,110,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5 ♺'],Success,11 March 2021,08:13:29
304,111,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5 ♺'],Success,14 March 2021,10:01
305,112,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1060.6']",Success,24 March 2021,08:28
306,113,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5 ♺'],Success,7 April 2021,16:34
307,114,KSC,Crew-2,"~13,000 kg",LEO,NASA,"Success
","['F9 B5', 'B1061.2']",Success,23 April 2021,9:49
308,115,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1060.7']",Success,29 April 2021,03:44
309,116,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1049.9']",Success,4 May 2021,19:01
310,117,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1051.10']",Success,9 May 2021,06:42
311,118,KSC,Starlink,"~14,000 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1058.8']",Success,15 May 2021,22:56
312,119,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1063.2']",Success,26 May 2021,18:59
313,120,KSC,SpaceX CRS-22,"3,328 kg",LEO,NASA,"Success
","['F9 B5', 'B1067.1']",Success,3 June 2021,17:29
314,121,CCSFS,SXM-8,"7,000 kg",GTO,Sirius XM,"Success
",['F9 B5'],Success,6 June 2021,04:26
315,47,CCAFS,Zuma,C,LEO,Northrop Grumman,Success,['F9 B4'],Success,8 January 2018,01:00
316,48,CCAFS,GovSat-1,"4,230 kg",GTO,SES,Success,"['F9 FT', 'B1032.2']",Controlled,31 January 2018,21:25
317,49,VAFB,Paz,"2,150 kg",SSO,Hisdesat,Success,"['F9 FT', 'B1038.2']",No attempt,22 February 2018,14:17
318,50,CCAFS,Hispasat 30W-6,"6,092 kg",GTO,Hispasat,Success,['F9 B4'],No attempt,6 March 2018,05:33
319,51,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,"['F9 B4', 'B1041.2']",No attempt,30 March 2018,14:14
320,52,CCAFS,SpaceX CRS-14,"2,647 kg",LEO,NASA,Success,"['F9 B4', 'B1039.2']",No attempt,2 April 2018,20:30
321,53,CCAFS,Transiting Exoplanet Survey Satellite,362 kg,HEO,NASA,Success,['F9 B4'],Success,18 April 2018,22:51
322,54,KSC,Bangabandhu-1,"3,600 kg",GTO,Thales-Alenia,Success,"['F9 B5', 'B1046.1']",Success,11 May 2018,20:14
323,55,VAFB,Iridium NEXT,"6,460 kg",Polar,Iridium Communications,Success,"['F9 B4', 'B1043.2']",No attempt,22 May 2018,19:47
