,Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
324,56,CCAFS,SES-12,"5,384 kg",GTO,SES,Success,"['F9 B4', 'B1040.2']",No attempt,4 June 2018,04:45
325,57,CCAFS,SpaceX CRS-15,"2,697 kg",LEO,NASA,Success,"['F9 B4', 'B1045.2']",No attempt,29 June 2018,09:42
326,58,CCAFS,Telstar 19V,"7,075 kg",GTO,Telesat,Success,['F9 B5'],Success,22 July 2018,05:50
327,59,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,"['F9 B5', 'B1048']",Success,25 July 2018,11:39
328,60,CCAFS,Merah Putih,"5,800 kg",GTO,Telkom Indonesia,Success,"['F9 B5', 'B1046.2']",Success,7 August 2018,05:18
329,61,CCAFS,Telstar 18V,"7,060 kg",GTO,Telesat,Success,['F9 B5'],Success,10 September 2018,04:45
330,62,VAFB,SAOCOM 1A,"3,000 kg",SSO,CONAE,Success,"['F9 B5', 'B1048.2']",Success,8 October 2018,02:22
331,63,KSC,Es'hail 2,"5,300 kg",GTO,Es'hailSat,Success,"['F9 B5', 'B1047.2']",Success,15 November 2018,20:46
332,64,VAFB,SSO-A,"~4,000 kg",SSO,Spaceflight Industries,Success,"['F9 B5', 'B1046.3']",Success,3 December 2018,18:34:05
333,65,CCAFS,SpaceX CRS-16,"2,500 kg",LEO,NASA,"Success
",['F9 B5'],Failure,5 December 2018,18:16
334,66,CCAFS,GPS III,"4,400 kg",MEO,USAF,Success,['F9 B5'],No attempt,23 December 2018,13:51
335,67,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
","['F9 B5', 'B1049.2']",Success,11 January 2019,15:31
336,68,CCAFS,Nusantara Satu,"4,850 kg",GTO,PSN,"Success
","['F9 B5', 'B1048.3']",Success,22 February 2019,01:45
337,69,KSC,Crew Dragon Demo-1,"12,055 kg",LEO,NASA,"Success
","['F9 B5', '[268]']",Success,2 March 2019,07:49
338,70,CCAFS,SpaceX CRS-17,"2,495 kg",LEO,NASA,"Success
",['F9 B5'],Success,4 May 2019,06:48
339,71,CCAFS,Starlink,"13,620 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1049.3']",Success,24 May 2019,02:30
340,72,VAFB,RADARSAT Constellation,"4,200 kg",SSO,Canadian Space Agency,"Success
","['F9 B5', 'B1051.2']",Success,12 June 2019,14:17
341,73,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,NASA,"Success
","['F9 B5', 'B1056.2']",Success,25 July 2019,22:01
342,74,CCAFS,AMOS-17,"6,500 kg",GTO,Spacecom,"Success
","['F9 B5', 'B1047.3']",No attempt,6 August 2019,23:23
343,75,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5'],Success,11 November 2019,14:56
344,76,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,NASA,"Success
",['F9 B5'],Success,5 December 2019,17:29
345,77,CCAFS,JCSat-18,"6,956 kg",GTO,Sky Perfect JSAT,"Success
","['F9 B5', 'B1056.3']",Success,17 December 2019,00:10
346,78,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5'],Success,7 January 2020,02:19:21
347,79,KSC,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,NASA,"Success
",['F9 B5'],"No attempt
",19 January 2020,15:30
348,80,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5'],Success,29 January 2020,14:07
349,81,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5'],Failure,17 February 2020,15:05
350,82,CCAFS,SpaceX CRS-20,"1,977 kg",LEO,NASA,"Success
",['F9 B5'],Success,7 March 2020,04:50
351,83,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5'],Failure,18 March 2020,12:16
352,84,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5'],Success,22 April 2020,19:30
353,85,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,NASA,"Success
",['F9 B5'],Success,30 May 2020,19:22
354,86,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5'],Success,4 June 2020,01:25
355,87,CCAFS,Starlink,"15,410 kg",LEO,SpaceX,"Success
",['F9 B5'],Success,13 June 2020,09:21
356,88,CCAFS,GPS III,"4,311 kg",MEO,U.S. Space Force,"Success
",['F9 B5'],Success,30 June 2020,20:10:46
357,89,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,Republic of Korea Army,"Success
","['F9 B5', 'B1058.2']",Success,20 July 2020,21:30
358,90,KSC,Starlink,"14,932 kg",LEO,SpaceX,"Success
",['F9 B5'],Success,7 August 2020,05:12
359,91,CCAFS,Starlink,"~15,440 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1049.6']",Success,18 August 2020,14:31
360,92,CCAFS,SAOCOM 1B,"3,130 kg",SSO,CONAE,"Success
",['F9 B5'],Success,30 August 2020,23:18
361,93,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1060.2']",Success,3 September 2020,12:46:14
362,94,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1058.3']",Success,6 October 2020,11:29:34
363,95,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1051.6']",Success,18 October 2020,12:25:57
364,96,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5'],Success,24 October 2020,15:31:34
365,97,CCAFS,GPS III,"4,311 kg",MEO,USSF,"Success
",['F9 B5'],Success,5 November 2020,23:24:23
366,98,KSC,Crew-1,"~12,500 kg",LEO,NASA,"Success
",['F9 B5'],Success,16 November 2020,00:27
367,99,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,NASA,"Success
",['F9 B5'],Success,21 November 2020,17:17:08
368,100,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5 ♺'],Success,25 November 2020,02:13
369,101,KSC,SpaceX CRS-21,"2,972 kg",LEO,NASA,"Success
",['F9 B5 ♺'],Success,6 December 2020,16:17:08
370,102,CCSFS,SXM-7,"7,000 kg",GTO,Sirius XM,"Success
",['F9 B5 ♺'],Success,13 December 2020,17:30:00
371,103,KSC,NROL-108,C,LEO,NRO,"Success
",['F9 B5 ♺'],Success,19 December 2020,14:00:00
372,104,CCSFS,Türksat 5A,"3,500 kg",GTO,Türksat,"Success
",['F9 B5'],Success,8 January 2021,02:15
373,105,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1051.8']",Success,20 January 2021,13:02
374,106,CCSFS,Transporter-1,"~5,000 kg",SSO,,"Success
","['F9 B5', 'B1058.5']",Success,24 January 2021,15:00
375,107,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5 ♺'],Success,4 February 2021,06:19
376,108,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5 ♺'],Failure,16 February 2021,03:59:37
377,109,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5 ♺'],Success,4 March 2021,08:24
378,110,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5 ♺'],Success,11 March 2021,08:13:29
379,111,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5 ♺'],Success,14 March 2021,10:01
380,112,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1060.6']",Success,24 March 2021,08:28
381,113,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5 ♺'],Success,7 April 2021,16:34
382,114,KSC,Crew-2,"~13,000 kg",LEO,NASA,"Success
","['F9 B5', 'B1061.2']",Success,23 April 2021,9:49
383,115,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1060.7']",Success,29 April 2021,03:44
384,116,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1049.9']",Success,4 May 2021,19:01
385,117,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1051.10']",Success,9 May 2021,06:42
386,118,KSC,Starlink,"~14,000 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1058.8']",Success,15 May 2021,22:56
387,119,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1063.2']",Success,26 May 2021,18:59
388,120,KSC,SpaceX CRS-22,"3,328 kg",LEO,NASA,"Success
","['F9 B5', 'B1067.1']",Success,3 June 2021,17:29
389,121,CCSFS,SXM-8,"7,000 kg",GTO,Sirius XM,"Success
",['F9 B5'],Success,6 June 2021,04:26
390,67,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
","['F9 B5', 'B1049.2']",Success,11 January 2019,15:31
391,68,CCAFS,Nusantara Satu,"4,850 kg",GTO,PSN,"Success
","['F9 B5', 'B1048.3']",Success,22 February 2019,01:45
392,69,KSC,Crew Dragon Demo-1,"12,055 kg",LEO,NASA,"Success
","['F9 B5', '[268]']",Success,2 March 2019,07:49
393,70,CCAFS,SpaceX CRS-17,"2,495 kg",LEO,NASA,"Success
",['F9 B5'],Success,4 May 2019,06:48
394,71,CCAFS,Starlink,"13,620 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1049.3']",Success,24 May 2019,02:30
395,72,VAFB,RADARSAT Constellation,"4,200 kg",SSO,Canadian Space Agency,"Success
","['F9 B5', 'B1051.2']",Success,12 June 2019,14:17
396,73,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,NASA,"Success
","['F9 B5', 'B1056.2']",Success,25 July 2019,22:01
397,74,CCAFS,AMOS-17,"6,500 kg",GTO,Spacecom,"Success
","['F9 B5', 'B1047.3']",No attempt,6 August 2019,23:23
398,75,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5'],Success,11 November 2019,14:56
399,76,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,NASA,"Success
",['F9 B5'],Success,5 December 2019,17:29
400,77,CCAFS,JCSat-18,"6,956 kg",GTO,Sky Perfect JSAT,"Success
","['F9 B5', 'B1056.3']",Success,17 December 2019,00:10
401,78,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5'],Success,7 January 2020,02:19:21
402,79,KSC,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,NASA,"Success
",['F9 B5'],"No attempt
",19 January 2020,15:30
403,80,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5'],Success,29 January 2020,14:07
404,81,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5'],Failure,17 February 2020,15:05
405,82,CCAFS,SpaceX CRS-20,"1,977 kg",LEO,NASA,"Success
",['F9 B5'],Success,7 March 2020,04:50
406,83,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5'],Failure,18 March 2020,12:16
407,84,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5'],Success,22 April 2020,19:30
408,85,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,NASA,"Success
",['F9 B5'],Success,30 May 2020,19:22
409,86,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5'],Success,4 June 2020,01:25
410,87,CCAFS,Starlink,"15,410 kg",LEO,SpaceX,"Success
",['F9 B5'],Success,13 June 2020,09:21
411,88,CCAFS,GPS III,"4,311 kg",MEO,U.S. Space Force,"Success
",['F9 B5'],Success,30 June 2020,20:10:46
412,89,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,Republic of Korea Army,"Success
","['F9 B5', 'B1058.2']",Success,20 July 2020,21:30
413,90,KSC,Starlink,"14,932 kg",LEO,SpaceX,"Success
",['F9 B5'],Success,7 August 2020,05:12
414,91,CCAFS,Starlink,"~15,440 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1049.6']",Success,18 August 2020,14:31
415,92,CCAFS,SAOCOM 1B,"3,130 kg",SSO,CONAE,"Success
",['F9 B5'],Success,30 August 2020,23:18
416,93,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1060.2']",Success,3 September 2020,12:46:14
417,94,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1058.3']",Success,6 October 2020,11:29:34
418,95,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1051.6']",Success,18 October 2020,12:25:57
419,96,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5'],Success,24 October 2020,15:31:34
420,97,CCAFS,GPS III,"4,311 kg",MEO,USSF,"Success
",['F9 B5'],Success,5 November 2020,23:24:23
421,98,KSC,Crew-1,"~12,500 kg",LEO,NASA,"Success
",['F9 B5'],Success,16 November 2020,00:27
422,99,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,NASA,"Success
",['F9 B5'],Success,21 November 2020,17:17:08
423,100,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5 ♺'],Success,25 November 2020,02:13
424,101,KSC,SpaceX CRS-21,"2,972 kg",LEO,NASA,"Success
",['F9 B5 ♺'],Success,6 December 2020,16:17:08
425,102,CCSFS,SXM-7,"7,000 kg",GTO,Sirius XM,"Success
",['F9 B5 ♺'],Success,13 December 2020,17:30:00
426,103,KSC,NROL-108,C,LEO,NRO,"Success
",['F9 B5 ♺'],Success,19 December 2020,14:00:00
427,104,CCSFS,Türksat 5A,"3,500 kg",GTO,Türksat,"Success
",['F9 B5'],Success,8 January 2021,02:15
428,105,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1051.8']",Success,20 January 2021,13:02
429,106,CCSFS,Transporter-1,"~5,000 kg",SSO,,"Success
","['F9 B5', 'B1058.5']",Success,24 January 2021,15:00
430,107,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5 ♺'],Success,4 February 2021,06:19
431,108,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5 ♺'],Failure,16 February 2021,03:59:37
432,109,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5 ♺'],Success,4 March 2021,08:24
433,110,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5 ♺'],Success,11 March 2021,08:13:29
434,111,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5 ♺'],Success,14 March 2021,10:01
435,112,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1060.6']",Success,24 March 2021,08:28
436,113,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5 ♺'],Success,7 April 2021,16:34
437,114,KSC,Crew-2,"~13,000 kg",LEO,NASA,"Success
","['F9 B5', 'B1061.2']",Success,23 April 2021,9:49
438,115,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1060.7']",Success,29 April 2021,03:44
439,116,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1049.9']",Success,4 May 2021,19:01
440,117,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1051.10']",Success,9 May 2021,06:42
441,118,KSC,Starlink,"~14,000 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1058.8']",Success,15 May 2021,22:56
442,119,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1063.2']",Success,26 May 2021,18:59
443,120,KSC,SpaceX CRS-22,"3,328 kg",LEO,NASA,"Success
","['F9 B5', 'B1067.1']",Success,3 June 2021,17:29
444,121,CCSFS,SXM-8,"7,000 kg",GTO,Sirius XM,"Success
",['F9 B5'],Success,6 June 2021,04:26
445,78,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5'],Success,7 January 2020,02:19:21
446,79,KSC,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,NASA,"Success
",['F9 B5'],"No attempt
",19 January 2020,15:30
447,80,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5'],Success,29 January 2020,14:07
448,81,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5'],Failure,17 February 2020,15:05
449,82,CCAFS,SpaceX CRS-20,"1,977 kg",LEO,NASA,"Success
",['F9 B5'],Success,7 March 2020,04:50
450,83,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5'],Failure,18 March 2020,12:16
451,84,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5'],Success,22 April 2020,19:30
452,85,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,NASA,"Success
",['F9 B5'],Success,30 May 2020,19:22
453,86,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5'],Success,4 June 2020,01:25
454,87,CCAFS,Starlink,"15,410 kg",LEO,SpaceX,"Success
",['F9 B5'],Success,13 June 2020,09:21
455,88,CCAFS,GPS III,"4,311 kg",MEO,U.S. Space Force,"Success
",['F9 B5'],Success,30 June 2020,20:10:46
456,89,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,Republic of Korea Army,"Success
","['F9 B5', 'B1058.2']",Success,20 July 2020,21:30
457,90,KSC,Starlink,"14,932 kg",LEO,SpaceX,"Success
",['F9 B5'],Success,7 August 2020,05:12
458,91,CCAFS,Starlink,"~15,440 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1049.6']",Success,18 August 2020,14:31
459,92,CCAFS,SAOCOM 1B,"3,130 kg",SSO,CONAE,"Success
",['F9 B5'],Success,30 August 2020,23:18
460,93,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1060.2']",Success,3 September 2020,12:46:14
461,94,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1058.3']",Success,6 October 2020,11:29:34
462,95,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1051.6']",Success,18 October 2020,12:25:57
463,96,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5'],Success,24 October 2020,15:31:34
464,97,CCAFS,GPS III,"4,311 kg",MEO,USSF,"Success
",['F9 B5'],Success,5 November 2020,23:24:23
465,98,KSC,Crew-1,"~12,500 kg",LEO,NASA,"Success
",['F9 B5'],Success,16 November 2020,00:27
466,99,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,NASA,"Success
",['F9 B5'],Success,21 November 2020,17:17:08
467,100,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5 ♺'],Success,25 November 2020,02:13
468,101,KSC,SpaceX CRS-21,"2,972 kg",LEO,NASA,"Success
",['F9 B5 ♺'],Success,6 December 2020,16:17:08
469,102,CCSFS,SXM-7,"7,000 kg",GTO,Sirius XM,"Success
",['F9 B5 ♺'],Success,13 December 2020,17:30:00
470,103,KSC,NROL-108,C,LEO,NRO,"Success
",['F9 B5 ♺'],Success,19 December 2020,14:00:00
471,104,CCSFS,Türksat 5A,"3,500 kg",GTO,Türksat,"Success
",['F9 B5'],Success,8 January 2021,02:15
472,105,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1051.8']",Success,20 January 2021,13:02
473,106,CCSFS,Transporter-1,"~5,000 kg",SSO,,"Success
","['F9 B5', 'B1058.5']",Success,24 January 2021,15:00
474,107,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5 ♺'],Success,4 February 2021,06:19
475,108,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5 ♺'],Failure,16 February 2021,03:59:37
476,109,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5 ♺'],Success,4 March 2021,08:24
477,110,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5 ♺'],Success,11 March 2021,08:13:29
478,111,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5 ♺'],Success,14 March 2021,10:01
479,112,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1060.6']",Success,24 March 2021,08:28
480,113,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5 ♺'],Success,7 April 2021,16:34
481,114,KSC,Crew-2,"~13,000 kg",LEO,NASA,"Success
","['F9 B5', 'B1061.2']",Success,23 April 2021,9:49
482,115,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1060.7']",Success,29 April 2021,03:44
483,116,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1049.9']",Success,4 May 2021,19:01
484,117,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1051.10']",Success,9 May 2021,06:42
485,118,KSC,Starlink,"~14,000 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1058.8']",Success,15 May 2021,22:56
486,119,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1063.2']",Success,26 May 2021,18:59
487,120,KSC,SpaceX CRS-22,"3,328 kg",LEO,NASA,"Success
","['F9 B5', 'B1067.1']",Success,3 June 2021,17:29
488,121,CCSFS,SXM-8,"7,000 kg",GTO,Sirius XM,"Success
",['F9 B5'],Success,6 June 2021,04:26
